,id,fold
0,IDRiD_28.jpg,0
1,IDRiD_44.jpg,1
2,IDRiD_23.jpg,2
3,IDRiD_32.jpg,0
4,IDRiD_11.jpg,1
5,IDRiD_51.jpg,2
6,IDRiD_54.jpg,0
7,IDRiD_31.jpg,1
8,IDRiD_14.jpg,2
9,IDRiD_10.jpg,0
10,IDRiD_30.jpg,1
11,IDRiD_03.jpg,2
12,IDRiD_04.jpg,0
13,IDRiD_43.jpg,1
14,IDRiD_40.jpg,2
15,IDRiD_19.jpg,0
16,IDRiD_50.jpg,1
17,IDRiD_48.jpg,2
18,IDRiD_49.jpg,0
19,IDRiD_41.jpg,1
20,IDRiD_01.jpg,2
21,IDRiD_45.jpg,0
22,IDRiD_15.jpg,1
23,IDRiD_09.jpg,2
24,IDRiD_38.jpg,0
25,IDRiD_52.jpg,1
26,IDRiD_27.jpg,2
27,IDRiD_21.jpg,0
28,IDRiD_07.jpg,1
29,IDRiD_26.jpg,2
30,IDRiD_16.jpg,0
31,IDRiD_36.jpg,1
32,IDRiD_34.jpg,2
33,IDRiD_20.jpg,0
34,IDRiD_13.jpg,1
35,IDRiD_29.jpg,2
36,IDRiD_22.jpg,0
37,IDRiD_18.jpg,1
38,IDRiD_24.jpg,2
39,IDRiD_17.jpg,0
40,IDRiD_06.jpg,1
41,IDRiD_39.jpg,2
42,IDRiD_35.jpg,0
43,IDRiD_47.jpg,1
44,IDRiD_02.jpg,2
45,IDRiD_05.jpg,0
46,IDRiD_25.jpg,1
47,IDRiD_53.jpg,2
48,IDRiD_08.jpg,0
49,IDRiD_37.jpg,1
50,IDRiD_12.jpg,2
51,IDRiD_33.jpg,0
52,IDRiD_42.jpg,1
53,IDRiD_46.jpg,2
